,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
73,7655,OR,26,D13,New Carrollton,New Carrollton,MD,4700 Garden City Drive,20784,D13,38.947674,OR,,,,-76.872144,New Carrollton,,
74,0,RD,1,A15,Shady Grove,Rockville,MD,15903 Somerville Drive,20855,A15,39.119819,RD,,,,-77.164921,Shady Grove,,
75,14151,RD,2,A14,Rockville,Rockville,MD,251 Hungerford Drive,20850,A14,39.084215,RD,,,,-77.146424,Rockville,,
76,10586,RD,3,A13,Twinbrook,Rockville,MD,1600 Chapman Avenue,20852,A13,39.062359,RD,,,,-77.121113,Twinbrook,,
77,5895,RD,4,A12,White Flint,Rockville,MD,5500 Marinelli Road,20852,A12,39.048043,RD,,,,-77.113131,White Flint,,
78,7309,RD,5,A11,Grosvenor-Strathmore,Bethesda,MD,10300 Rockville Pike,20852,A11,39.029158,RD,,,,-77.10415,Grosvenor-Strathmore,,
79,11821,RD,6,A10,Medical Center,Bethesda,MD,8810 Rockville Pike,20814,A10,38.999947,RD,,,,-77.097253,Medical Center,,
80,5530,RD,7,A09,Bethesda,Bethesda,MD,7450 Wisconsin Avenue,20814,A09,38.984282,RD,,,,-77.094431,Bethesda,,
81,9095,RD,8,A08,Friendship Heights,Washington,DC,5337 Wisconsin Avenue NW,20015,A08,38.960744,RD,,,,-77.085969,Friendship Heights,,
82,4135,RD,9,A07,Tenleytown-AU,Washington,DC,4501 Wisconsin Avenue NW,20016,A07,38.947808,RD,,,,-77.079615,Tenleytown-AU,,
83,5841,RD,10,A06,Van Ness-UDC,Washington,DC,4200 Connecticut Avenue NW,20008,A06,38.94362,RD,,,,-77.063511,Van Ness-UDC,,
84,3320,RD,11,A05,Cleveland Park,Washington,DC,3599 Connecticut Avenue NW,20008,A05,38.934703,RD,,,,-77.058226,Cleveland Park,,
85,3740,RD,12,A04,Woodley Park-Zoo/Adams Morgan,Washington,DC,"2700 Connecticut Ave., NW",20008,A04,38.924999,RD,,,,-77.052648,Woodley Park-Zoo/Adams Morgan,,
86,6304,RD,13,A03,Dupont Circle,Washington,DC,1525 20th St. NW,20036,A03,38.909499,RD,,,,-77.04362,Dupont Circle,,
87,2487,RD,14,A02,Farragut North,Washington,DC,1001 Connecticut Avenue NW,20036,A02,38.903192,RD,,,,-77.039766,Farragut North,,
88,4178,RD,15,A01,Metro Center,Washington,DC,607 13th St. NW,20005,A01,38.898303,RD,,,,-77.028099,Metro Center,C01,
89,1505,RD,16,B01,Gallery Pl-Chinatown,Washington,DC,630 H St. NW,20001,B01,38.89834,RD,,,,-77.021851,Gallery Pl-Chinatown,F01,
90,1967,RD,17,B02,Judiciary Square,Washington,DC,450 F Street NW,20001,B02,38.896084,RD,,,,-77.016643,Judiciary Square,,
91,3446,RD,18,B03,Union Station,Washington,DC,701 First St. NE,20002,B03,38.897723,RD,,,,-77.006745,Union Station,,
92,3548,RD,19,B35,NoMa-Gallaudet U,Washington,DC,200 Florida Ave N.E.,20002,B35,38.907407,RD,,,,-77.002961,NoMa-Gallaudet U,,
93,5771,RD,20,B04,Rhode Island Ave-Brentwood,Washington,DC,919 Rhode Island Avenue NE,20018,B04,38.920741,RD,,,,-76.995984,Rhode Island Ave-Brentwood,,
94,4553,RD,21,B05,Brookland-CUA,Washington,DC,801 Michigan Avenue NE,20017,B05,38.933234,RD,,,,-76.994544,Brookland-CUA,,
95,7378,RD,22,B06,Fort Totten,Washington,DC,550 Galloway Street NE,20011,B06,38.951777,RD,,,,-77.002174,Fort Totten,E06,
