,Lat,Lon,Name,Routes,StopID
6770,38.99758,-77.066085,JONES MILL RD + COQUELIN TER,[u'J1'],2000203
6771,38.997596,-76.86547,MANDAN RD + HANOVER PKWY,[u'G12'],3002283
6772,38.997611,-77.02999,GEORGIA AVE + CAMERON ST,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000204
6773,38.997799,-76.87809,SOUTHWAY + #7 COURT,"[u'G14', u'G14v2']",3002284
6774,38.997917,-76.865913,HANOVER PKWY + MANDAN RD,"[u'G12', u'G12v1']",3002285
6775,38.997925,-76.878249,SOUTHWAY + RIDGE RD,"[u'G14', u'G14v1', u'G14v2']",3002286
6776,38.998016,-76.911629,GREENBELT RD + CHERRYWOOD LN,"[u'G14', u'G14c', u'G14v2', u'R12', u'R12v1']",3002287
6777,38.998032,-76.885902,LAKESIDE DR + LAKECREST DR,"[u'G12', u'G12v1', u'G14', u'G14c', u'G14v2']",3002288
6778,38.998055,-76.931624,BALTIMORE AVE + METZEROTT RD,"[u'83', u'86', u'C2', u'C2c', u'C2v2']",3002289
6779,38.998116,-76.908767,BELTWAY PLAZA + CUNNINGHAM DR ENTR,"[u'G14', u'G14c', u'R12']",3002290
6780,38.998137,-76.799316,LANHAM-SEVERN RD + DRISCOLL DR,[u'B27'],3002291
6781,38.998196,-76.91378,GREENBELT RD + BRANCHVILLE RD,"[u'C2', u'C2c', u'C2v2']",3002292
6782,38.998215,-76.929351,GREENBELT RD + 48TH AVE,"[u'83', u'C2', u'C2c']",3002293
6783,38.998336,-76.928748,GREENBELT RD + 48TH AVE,"[u'83', u'C2', u'C2c', u'C2v2']",3002294
6784,38.998477,-76.885063,LAKESIDE DR + WESTWAY,"[u'G12', u'G12v1', u'G14', u'G14c', u'G14v2']",3002295
6785,38.998505,-76.973052,RIGGS RD + SARANAC ST,"[u'R1', u'R2']",3002296
6786,38.998524,-77.06739,JONES BRIDGE RD + ALTIMONT LA,[u'J1'],2000205
6787,38.998565,-77.06797,JONES BRIDGE RD + JONES BRIDGE CT,[u'J1'],2000206
6788,38.998569,-76.92543,RHODE ISLAND AVE + MD-193,[u'83'],3002297
6789,38.998576,-77.02652,COLESVILLE RD + SPRING ST,"[u'Z11', u'Z11v1', u'Z2v2', u'Z2v4', u'Z2vS', u'Z6', u'Z6v1', u'Z7', u'Z7v1', u'Z8', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v4', u'Z8v9']",2000207
6790,38.998595,-76.884902,LAKESIDE DR + WESTWAY,"[u'G12', u'G14', u'G14v2']",3002298
6791,38.998638,-76.876823,RIDGE RD + 18 CT,"[u'G14', u'G14v2']",3002299
6792,38.998733,-77.096985,ROCKVILLE PIKE + SOUTH DR,"[u'J2', u'J2v1', u'J3', u'J7', u'J9']",2000208
6793,38.998745,-77.026161,COLESVILLE RD + SPRING ST,"[u'Z11', u'Z2v4', u'Z2v5', u'Z2vS', u'Z6', u'Z6c', u'Z7', u'Z8', u'Z8c', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v9']",2000209
6794,38.998745,-77.06948,JONES BRIDGE RD + BRIERLY RD,[u'J1'],2000210
6795,38.998748,-77.069473,JONES BRIDGE RD + BRIERLY CT,[u'J1'],2000211
6796,38.998927,-76.995177,UNIVERSITY BLVD + PINEY BRANCH RD,"[u'C2', u'C4']",2000212
6797,38.998932,-76.900017,EDMONSTON RD + BREEZEWOOD DR,"[u'R12', u'R12v1']",3002301
6798,38.998947,-76.972977,RIGGS RD + SARANAC ST,"[u'R1', u'R2', u'R2v2']",3002302
6799,38.99913,-76.960228,ARCHIVES II BLDG RDWY + MAIN ENTRANCE,"[u'C8', u'C8v3']",3002303
6800,38.999232,-77.031486,GEORGIA AVE + SPRING ST,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000214
6801,38.999237,-77.174232,RIVER RD + FENWAY DR,[u'T2'],2000215
6802,38.99924,-76.874634,RIDGE RD + 21 CT,"[u'G14', u'G14v2']",3002304
6803,38.999274,-77.072922,JONES BRIDGE RD + MONTGOMERY AVE,[u'J1'],2000216
6804,38.999287,-77.073104,JONES BRIDGE RD + MONTGOMERY AVE,[u'J1'],2000217
6805,38.999355,-76.911606,CHERRYWOOD LN + GREENBELT RD,"[u'C2', u'C2c', u'G14', u'G14c', u'G14v2', u'R12', u'R12v1']",3002305
6806,38.9994,-76.983086,NEW HAMPSHIRE AVE + RUATAN ST,[u'K6'],3002306
6807,38.999439,-76.882132,WESTWAY + RIDGE RD,"[u'G12', u'G12v1', u'G14', u'G14c', u'G14v2']",3002307
6808,38.999465,-77.085136,JONES BRIDGE RD + UNIVERSITY RD,[u'J1'],2000218
6809,38.999496,-76.911797,CHERRYWOOD LN + #5510,"[u'C2', u'C2c', u'C2v2', u'G14', u'G14v2', u'R12', u'R12v1']",3002309
6810,38.999538,-76.88195,WESTWAY + RIDGE RD,"[u'G12', u'G14', u'G14v2']",3002310
6811,38.999588,-76.983192,NEW HAMPSHIRE AVE + RUATAN ST,[u'K6'],3002311
6812,38.999625,-77.03215,GEORGIA AVE + SPRING ST,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000219
6813,38.999701,-77.025963,COLESVILLE RD + S NOYES DR,"[u'Z2v2', u'Z2v4', u'Z2vS', u'Z6', u'Z6v1', u'Z8', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v4', u'Z8v9']",2000220
6814,38.999706,-77.085068,JONES BRIDGE RD + UNIVERSITY RD,[u'J1'],2000221
6815,38.999747,-76.925301,RHODE ISLAND AVE + UNIVERSITY BLVD,[u'83'],3002312
6816,38.999783,-77.077811,JONES BRIDGE RD + CONNECTICUT AVE,[u'J1'],2000222
6817,38.999789,-77.175467,MD-190 + CONGRESSIONAL COUNTRY CLUB,[u'T2'],2000223
6818,38.999802,-77.025741,COLESVILLE RD + S NOYES DR,"[u'Z2v4', u'Z2v5', u'Z2vS', u'Z6', u'Z6c', u'Z8', u'Z8c', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v9']",2000224
6819,38.999943,-76.898787,EDMONSTON RD + EDMONSTON CT,"[u'R12', u'R12v1']",3002313
6820,38.999985,-77.077765,JONES BRIDGE RD + CONNECTICUT AVE,[u'J1'],2000225
6821,39.000019,-77.07975,JONES BRIDGE RD + PLATT RIDGE DR,[u'J1'],2000226
6822,39.000087,-76.877052,SOUTHWAY + CRESCENT RD,"[u'G12', u'G14', u'G14v2']",3002314
6823,39.000092,-76.898848,EDMONSTON RD + EDMONSTON CT,"[u'R12', u'R12v1']",3002315
6824,39.000103,-77.08316,JONES BRIDGE RD + HAWKINS LA,[u'J1'],2005448
6825,39.000114,-76.877128,SOUTHWAY + CRESCENT RD,"[u'G12', u'G12v1', u'G14', u'G14v1', u'G14v2']",3002316
6826,39.000149,-76.995399,UNIVERSITY BLVD + PINEY BRANCH RD,"[u'C2', u'C2v2', u'C2v3', u'C4', u'C4c', u'C4cv1', u'C4v3']",2000227
6827,39.000152,-77.079659,JONES BRIDGE RD + PLATT RIDGE DR,[u'J1'],2000228
6828,39.000354,-77.082733,JONES BRIDGE RD + HAWKINS LA,[u'J1'],2000229
6829,39.000565,-76.759308,RT 197 LAUREL-BOWIE RD + RUSTIC HILL DR,"[u'B21', u'B22', u'C29v4']",3002317
6830,39.000625,-77.033248,GEORGIA AVE + BALLARD ST,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000230
6831,39.00072,-76.931304,BALTIMORE AVE + UNIVERSITY BLVD,[u'86'],3002318
6832,39.000729,-77.033089,GEORGIA AVE + BALLARD ST,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000231
