,latitude,longitude,name,unique,detail,category,type
139,38.760939,-76.959339,ALLENTOWN RD + CONSTANTINE DR,3000167,W13,bus,bus
139,38.760939,-76.959339,ALLENTOWN RD + CONSTANTINE DR,3000167,W13v1,bus,bus
139,38.760939,-76.959339,ALLENTOWN RD + CONSTANTINE DR,3000167,W14,bus,bus
140,38.761263,-77.273304,LEE CHAPEL RD + WATERLINE DR,5000049,18R,bus,bus
141,38.761303,-77.269101,COTTONTAIL CT + GAME LORD DR,5000050,18H,bus,bus
142,38.761553,-77.269047,COTTONTAIL CT + GAME LORD DR,5000051,18H,bus,bus
143,38.76171,-77.220719,ROLLING RD + TANWORTH DR,5000052,18S,bus,bus
144,38.761972,-77.244603,SYDENSTRICKER RD + KENTFORD DR,5000053,18H,bus,bus
145,38.761983,-77.220506,ROLLING RD + HUNTER VILLAGE DR,5000054,18S,bus,bus
146,38.762222,-77.244969,SYDENSTRICKER RD + KENTFORD DR,5000055,18H,bus,bus
147,38.763705,-77.267749,COTTONTAIL CT + #7000,5000056,18H,bus,bus
148,38.763824,-77.267797,COTTONTAIL CT + #7000,5000057,18H,bus,bus
149,38.764111,-76.954289,ALLENTOWN RD + CALYDON CT,3000169,W13,bus,bus
149,38.764111,-76.954289,ALLENTOWN RD + CALYDON CT,3000169,W13c,bus,bus
149,38.764111,-76.954289,ALLENTOWN RD + CALYDON CT,3000169,W14,bus,bus
150,38.764268,-76.954062,ALLENTOWN RD + CALYDON CT,3000170,W13,bus,bus
150,38.764268,-76.954062,ALLENTOWN RD + CALYDON CT,3000170,W13v1,bus,bus
150,38.764268,-76.954062,ALLENTOWN RD + CALYDON CT,3000170,W14,bus,bus
151,38.764375,-77.272731,LEE CHAPEL RD + SOUTHERN CROSS LN,5000058,18R,bus,bus
152,38.764471,-77.196831,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000059,18R,bus,bus
152,38.764471,-77.196831,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000059,18S,bus,bus
152,38.764471,-77.196831,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000059,18Sc,bus,bus
153,38.76469,-77.24727,SYDENSTRICKER RD + KERRY LN,5000060,18H,bus,bus
154,38.764635,-77.247534,SYDENSTRICKER RD + KERRY LN,5000061,18H,bus,bus
155,38.76487,-77.195931,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000062,18R,bus,bus
155,38.76487,-77.195931,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000062,18S,bus,bus
155,38.76487,-77.195931,FRANCONIA-SPRINGFIELD PKY + BONNIEMILL LN,5000062,18Sc,bus,bus
156,38.764994,-77.025061,FORT FOOTE RD + FORTSIDE DRWY,3000171,P17,bus,bus
156,38.764994,-77.025061,FORT FOOTE RD + FORTSIDE DRWY,3000171,P18,bus,bus
157,38.765228,-77.272013,LEE CHAPEL RD + ONION PATCH DR,5000063,18R,bus,bus
158,38.765298,-77.024886,FORT FOOTE RD + BLUFFWOOD LN,3000172,P17,bus,bus
158,38.765298,-77.024886,FORT FOOTE RD + BLUFFWOOD LN,3000172,P18,bus,bus
159,38.765495,-77.221919,ROLLING RD + VIOLA ST,5000064,18S,bus,bus
160,38.76531,-77.222067,ROLLING RD + VIOLA ST,5000065,18S,bus,bus
161,38.765476,-77.264443,CONSERVATION DR + COTTONTAIL CT,5000066,18H,bus,bus
162,38.765552,-77.264341,CONSERVATION DR + COTTONTAIL CT,5000067,18H,bus,bus
163,38.766064,-76.885122,CLINTON PARK AND RIDE LOT + BUS BAY B,3000175,C11,bus,bus
163,38.766064,-76.885122,CLINTON PARK AND RIDE LOT + BUS BAY B,3000175,C13,bus,bus
164,38.766217,-77.253301,SYDENSTRICKER RD + HUNTSMAN BLVD,5000068,18H,bus,bus
165,38.766638,-77.253577,HUNTSMAN BLVD + SYDENSTRICKER RD,5000069,18H,bus,bus
166,38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,5000070,18R,bus,bus
166,38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,5000070,18S,bus,bus
166,38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,5000070,18Sc,bus,bus
166,38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,5000070,S80,bus,bus
166,38.766742,-77.169258,FRANCONIA SPRINGFIELD METRO STATION + BUS BAY D,5000070,S91,bus,bus
167,38.767269,-77.224845,ROLLING RD + ASHFORD CT,5000071,18S,bus,bus
168,38.76751,-77.224818,ROLLING RD + BELLAMY AVE,5000072,18S,bus,bus
169,38.767527,-77.264578,CONSERVATION DR + #6966,5000073,18H,bus,bus
170,38.767562,-77.264716,CONSERVATION DR + #6965,5000074,18H,bus,bus
171,38.767879,-77.253,HUNTSMAN BLVD + SIDE SADDLE RD,5000075,18H,bus,bus
172,38.767793,-77.272251,LEE CHAPEL RD + CLAYCHIN CT,5000076,18R,bus,bus
173,38.767924,-77.26108,FIELD MASTER DR + CONSERVATION DR,5000077,18H,bus,bus
174,38.768102,-77.253056,HUNTSMAN BLVD + SIDE SADDLE RD,5000078,18H,bus,bus
